UserID,Age,Gender,Country,EducationLevel,CurrentJobTitle,YearsOfExperience,Industry,HasAISkills,AISkillsList,WillingnessToUpskill,UpskillingActionsTaken,SkillGapScore,FutureJobRisk,RecommendedLearningPath,LastProfileUpdate
USR-0024,59,Male,Australia,High School,Financial Advisor,36,Retail,False,,2,0,0.7,High,"Prompt Engineering, NLP",2023-04-22
USR-0025,23,Female,Australia,PhD,Nurse,4,Manufacturing,True,"Deep Learning, Computer Vision",5,1,0.3,Medium,,2023-07-21
USR-0026,40,Male,Brazil,Master's,AI Specialist,16,Education,True,"Deep Learning, Machine Learning",3,1,0.29,Low,,2023-05-07
USR-0027,44,Female,Australia,Master's,Retail Manager,25,Tech,True,"Machine Learning, Computer Vision, AI Ethics",2,1,0.23,High,,2024-01-29
USR-0028,29,Female,Canada,Bachelor's,Content Creator,6,Retail,False,,5,4,0.7,Low,"Python, Data Analysis, AI Ethics",2024-05-14
USR-0029,45,Female,USA,High School,Operations Manager,21,Consulting,False,,3,2,0.7,Low,"Data Visualization, Python",2023-03-18
USR-0030,43,Female,Canada,Bachelor's,Operations Manager,23,Tech,False,,3,1,0.7,Medium,"Machine Learning, Deep Learning",2024-07-13
USR-0031,29,Female,USA,Master's,Content Creator,10,Consulting,False,,5,5,0.7,Low,"Data Visualization, Python",2023-12-24
USR-0032,49,Female,India,Bachelor's,AI Specialist,26,Healthcare,False,,2,1,0.7,Low,"Prompt Engineering, NLP",2024-02-27
USR-0033,53,Male,France,PhD,Nurse,33,Media,False,,3,2,0.7,Low,"Python, Data Analysis, AI Ethics",2023-07-25
USR-0034,59,Female,USA,Bachelor's,Admin Assistant,35,Consulting,False,,2,0,0.7,High,"Prompt Engineering, NLP",2024-03-23
USR-0035,46,Female,USA,Bachelor's,Operations Manager,24,Retail,False,,3,2,0.7,Medium,"Python, Data Analysis, AI Ethics",2024-01-24
USR-0036,43,Female,Brazil,Bachelor's,Admin Assistant,23,Retail,False,,3,0,0.7,High,"Prompt Engineering, NLP",2023-07-31
USR-0037,41,Female,France,Bachelor's,Content Creator,17,Education,False,,4,5,0.7,Low,"Machine Learning, Deep Learning",2024-07-07
USR-0038,44,Female,France,Master's,Teacher,20,Consulting,True,"Computer Vision, Prompt Engineering",2,2,0.28,Medium,,2023-10-26
USR-0039,33,Female,India,Master's,AI Specialist,11,Consulting,True,"Data Science, Natural Language Processing",5,1,0.26,Low,,2023-10-18
USR-0040,43,Female,India,Master's,Nurse,23,Finance,False,,3,0,0.7,High,"Machine Learning, Deep Learning",2023-12-22
USR-0041,33,Female,Canada,Master's,Nurse,10,Education,True,Prompt Engineering,4,0,0.33,High,,2023-01-03
USR-0042,34,Female,UK,High School,Admin Assistant,10,Consulting,True,"Natural Language Processing, Machine Learning, Computer Vision",4,2,0.42,High,,2023-01-08
USR-0043,42,Female,UK,Bachelor's,Retail Manager,23,Retail,False,,4,4,0.7,High,"Python, Data Analysis, AI Ethics",2023-04-13
USR-0044,51,Female,Germany,Bachelor's,Operations Manager,27,Healthcare,False,,4,2,0.7,Medium,"Prompt Engineering, NLP",2024-04-27
USR-0045,56,Male,India,Bachelor's,Admin Assistant,32,Manufacturing,False,,2,0,0.7,High,AI for Business,2023-06-25
USR-0046,52,Male,Canada,Bachelor's,Software Engineer,30,Retail,False,,4,4,0.7,Low,"Prompt Engineering, NLP",2024-07-19
USR-0047,57,Female,USA,Bachelor's,Retail Manager,35,Healthcare,True,Data Science,4,5,0.4,High,,2024-05-20
USR-0048,38,Male,India,Other,Retail Manager,20,Retail,True,"AI Ethics, Data Science",5,4,0.44,High,,2024-02-18
USR-0049,46,Female,India,Master's,Marketing Coordinator,25,Healthcare,True,"Data Science, Prompt Engineering, Computer Vision",4,0,0.38,High,,2024-03-27
USR-0050,44,Male,USA,PhD,Content Creator,22,Healthcare,False,,2,0,0.7,Low,"Python, Data Analysis, AI Ethics",2023-08-22
USR-0051,40,Male,USA,Bachelor's,Content Creator,16,Media,False,,4,4,0.7,Low,"Machine Learning, Deep Learning",2023-08-16
USR-0052,52,Female,USA,Master's,Financial Advisor,29,Finance,False,,4,5,0.7,Low,"Python, Data Analysis, AI Ethics",2023-05-31
USR-0053,45,Female,Canada,Bachelor's,Admin Assistant,21,Education,False,,3,1,0.7,High,"Data Visualization, Python",2023-02-20
USR-0054,60,Female,USA,Master's,Admin Assistant,39,Education,False,,2,1,0.7,High,"Python, Data Analysis, AI Ethics",2024-02-15
USR-0055,25,Female,France,Bachelor's,Teacher,2,Tech,True,"Deep Learning, Prompt Engineering, Natural Language Processing",4,1,0.19,Low,,2023-05-02
USR-0056,31,Male,France,Master's,Data Analyst,8,Manufacturing,True,Machine Learning,4,1,0.35,Low,,2023-08-01
USR-0057,48,Female,Canada,Master's,Data Analyst,30,Tech,True,"Natural Language Processing, AI Ethics",4,5,0.26,Medium,,2023-09-16
USR-0058,32,Male,India,Bachelor's,Operations Manager,9,Manufacturing,False,,3,2,0.7,Medium,"Machine Learning, Deep Learning",2023-05-23
USR-0059,38,Male,UK,High School,Admin Assistant,15,Education,True,"Prompt Engineering, Machine Learning",4,5,0.36,High,,2023-09-07
USR-0060,29,Non-Binary,UK,Bachelor's,Financial Advisor,5,Media,True,Prompt Engineering,5,2,0.33,Medium,,2024-03-07
USR-0061,51,Female,Australia,Bachelor's,Content Creator,29,Retail,False,,2,1,0.7,Low,AI for Business,2024-04-09
USR-0062,48,Male,UK,Bachelor's,Marketing Coordinator,25,Retail,False,,4,3,0.7,Medium,"Machine Learning, Deep Learning",2024-05-22
USR-0063,27,Male,India,High School,AI Specialist,3,Tech,False,,5,0,0.7,Low,"Machine Learning, Deep Learning",2023-05-18
USR-0064,49,Male,France,Master's,Retail Manager,31,Media,False,,2,1,0.7,High,AI for Business,2024-06-12
USR-0065,27,Female,USA,Bachelor's,Financial Advisor,6,Media,False,,4,3,0.7,Medium,"Machine Learning, Deep Learning",2023-03-27
USR-0066,23,Male,Australia,Master's,Nurse,0,Tech,False,,4,3,0.7,Medium,"Machine Learning, Deep Learning",2023-06-01
USR-0067,59,Female,India,High School,AI Specialist,38,Healthcare,False,,4,3,0.7,Low,AI for Business,2024-01-02
USR-0068,29,Female,UK,Bachelor's,Operations Manager,11,Healthcare,False,,4,5,0.7,Low,"Machine Learning, Deep Learning",2023-11-13
USR-0069,28,Male,Germany,High School,Financial Advisor,10,Media,False,,5,3,0.7,Medium,AI for Business,2023-02-14
USR-0070,28,Female,India,Bachelor's,Admin Assistant,6,Retail,False,,4,3,0.7,High,"Prompt Engineering, NLP",2024-04-07
USR-0071,51,Male,India,Bachelor's,Financial Advisor,30,Manufacturing,True,"Computer Vision, Natural Language Processing, Deep Learning",4,0,0.35,High,,2023-04-03
USR-0072,45,Male,Canada,Bachelor's,Data Analyst,24,Healthcare,False,,4,5,0.7,Medium,"Prompt Engineering, NLP",2024-07-07
USR-0073,29,Male,France,High School,Software Engineer,5,Manufacturing,False,,4,0,0.7,Low,AI for Business,2024-02-22
USR-0074,43,Male,France,Master's,Content Creator,25,Finance,False,,2,1,0.7,Low,"Machine Learning, Deep Learning",2024-02-26
USR-0075,48,Male,Canada,Bachelor's,Financial Advisor,30,Tech,False,,3,2,0.7,Medium,"Python, Data Analysis, AI Ethics",2024-03-28
USR-0076,44,Female,UK,Master's,Admin Assistant,23,Manufacturing,False,,4,5,0.7,High,"Data Visualization, Python",2023-07-05
USR-0077,50,Female,Germany,Master's,Data Analyst,29,Education,False,,3,0,0.7,High,"Python, Data Analysis, AI Ethics",2023-12-10
USR-0078,36,Male,India,High School,AI Specialist,12,Retail,False,,5,0,0.7,Low,"Python, Data Analysis, AI Ethics",2023-08-02
USR-0079,33,Female,Germany,High School,Marketing Coordinator,11,Tech,True,"Prompt Engineering, Machine Learning",4,4,0.25,Low,,2023-07-09
USR-0080,51,Female,USA,Master's,Nurse,29,Consulting,False,,2,0,0.7,Medium,"Prompt Engineering, NLP",2023-07-14
USR-0081,31,Female,India,Bachelor's,AI Specialist,9,Tech,True,"Computer Vision, Deep Learning, AI Ethics",3,1,0.18,Low,,2023-06-20
USR-0082,33,Male,Brazil,Bachelor's,Software Engineer,10,Manufacturing,False,,5,3,0.7,Low,"Python, Data Analysis, AI Ethics",2024-06-25
USR-0083,32,Female,UK,Other,Software Engineer,12,Tech,True,"Machine Learning, Prompt Engineering, Computer Vision",5,3,0.35,Low,,2023-07-20
USR-0084,27,Female,France,Bachelor's,Operations Manager,3,Media,False,,5,1,0.7,Medium,"Machine Learning, Deep Learning",2023-07-17
USR-0085,41,Male,UK,High School,Nurse,23,Manufacturing,False,,4,3,0.7,High,"Python, Data Analysis, AI Ethics",2023-09-16
USR-0086,23,Female,France,PhD,Operations Manager,0,Tech,True,"AI Ethics, Prompt Engineering",5,0,0.23,Low,,2024-01-23
USR-0087,46,Male,UK,Bachelor's,Teacher,26,Finance,False,,4,3,0.7,Medium,"Prompt Engineering, NLP",2023-06-08
USR-0088,41,Female,Germany,High School,Operations Manager,19,Finance,False,,3,1,0.7,Medium,"Data Visualization, Python",2023-03-23
USR-0089,54,Female,Canada,Bachelor's,Data Analyst,32,Healthcare,False,,3,1,0.7,Medium,"Machine Learning, Deep Learning",2024-01-03
USR-0090,40,Male,Germany,Master's,Marketing Coordinator,19,Consulting,False,,2,1,0.7,High,"Machine Learning, Deep Learning",2023-05-04
USR-0091,60,Male,Brazil,Bachelor's,Financial Advisor,38,Media,False,,4,3,0.7,Medium,"Data Visualization, Python",2024-02-07
USR-0092,58,Female,UK,Other,Data Analyst,36,Consulting,False,,4,5,0.7,Low,"Machine Learning, Deep Learning",2023-02-01
USR-0093,29,Female,India,Bachelor's,Software Engineer,7,Consulting,False,,4,3,0.7,Low,"Data Visualization, Python",2024-05-22
USR-0094,40,Male,UK,High School,Software Engineer,17,Media,True,"Computer Vision, Natural Language Processing, AI Ethics",3,0,0.45,Low,,2023-07-11
USR-0095,28,Female,India,Bachelor's,Data Analyst,9,Consulting,True,Computer Vision,4,0,0.25,Low,,2023-05-20
USR-0096,42,Male,India,Master's,Teacher,18,Finance,False,,3,2,0.7,Low,"Prompt Engineering, NLP",2024-07-27
USR-0097,23,Male,India,Bachelor's,Retail Manager,0,Manufacturing,False,,4,3,0.7,High,"Machine Learning, Deep Learning",2023-11-26
USR-0098,40,Male,France,Master's,Data Analyst,22,Consulting,False,,3,0,0.7,Medium,AI for Business,2024-04-24
USR-0099,41,Male,Australia,PhD,Operations Manager,18,Manufacturing,False,,2,2,0.7,Medium,"Machine Learning, Deep Learning",2023-12-31
USR-0100,60,Male,USA,Bachelor's,Software Engineer,40,Retail,False,,3,0,0.7,Low,"Prompt Engineering, NLP",2023-06-25
USR-0101,22,Female,USA,Master's,Data Analyst,1,Healthcare,False,,5,4,0.7,Low,"Machine Learning, Deep Learning",2024-07-10
USR-0102,50,Female,France,Bachelor's,Software Engineer,26,Tech,False,,4,1,0.7,Low,"Data Visualization, Python",2023-09-25
USR-0103,27,Female,USA,PhD,Operations Manager,8,Media,False,,5,0,0.7,Medium,"Prompt Engineering, NLP",2023-11-28
USR-0104,58,Female,Germany,High School,Admin Assistant,36,Manufacturing,False,,3,1,0.7,High,"Data Visualization, Python",2024-06-09
USR-0105,57,Male,Germany,Master's,Data Analyst,39,Healthcare,False,,2,0,0.7,Medium,"Prompt Engineering, NLP",2024-01-09
USR-0106,57,Female,USA,Bachelor's,Data Analyst,39,Consulting,False,,3,2,0.7,Medium,"Python, Data Analysis, AI Ethics",2023-06-09
USR-0107,52,Female,France,Bachelor's,Retail Manager,32,Education,False,,3,2,0.7,High,"Machine Learning, Deep Learning",2023-10-02
USR-0108,55,Female,USA,Bachelor's,AI Specialist,35,Consulting,False,,4,3,0.7,Low,"Python, Data Analysis, AI Ethics",2024-03-19
USR-0109,39,Male,Canada,Bachelor's,Data Analyst,18,Finance,False,,5,2,0.7,Medium,"Python, Data Analysis, AI Ethics",2023-10-29
USR-0110,52,Female,USA,Bachelor's,Teacher,29,Finance,False,,4,0,0.7,High,"Python, Data Analysis, AI Ethics",2024-07-27
USR-0111,31,Male,Brazil,Bachelor's,Financial Advisor,9,Tech,False,,5,5,0.7,Medium,"Data Visualization, Python",2023-02-12
USR-0112,49,Female,Germany,Bachelor's,Operations Manager,25,Finance,False,,2,0,0.7,High,AI for Business,2023-06-11
USR-0113,37,Female,Australia,Bachelor's,Financial Advisor,17,Manufacturing,False,,4,0,0.7,Medium,"Prompt Engineering, NLP",2023-02-26
USR-0114,24,Male,Germany,Bachelor's,Retail Manager,4,Tech,True,Prompt Engineering,5,4,0.19,High,,2023-12-29
USR-0115,44,Female,France,Master's,Retail Manager,21,Manufacturing,True,"Computer Vision, Prompt Engineering, AI Ethics",2,0,0.27,High,,2024-06-26
USR-0116,60,Male,France,Bachelor's,Admin Assistant,37,Manufacturing,False,,4,5,0.7,High,"Data Visualization, Python",2023-05-29
USR-0117,51,Female,UK,Master's,Financial Advisor,27,Finance,True,Machine Learning,2,0,0.35,Medium,,2024-05-04
USR-0118,51,Male,USA,Master's,Admin Assistant,29,Tech,False,,4,5,0.7,High,"Data Visualization, Python",2023-02-13
USR-0119,26,Female,UK,Bachelor's,Admin Assistant,8,Media,True,Deep Learning,5,4,0.32,High,,2024-07-18
USR-0120,23,Male,Canada,Bachelor's,Retail Manager,1,Education,False,,5,2,0.7,High,"Machine Learning, Deep Learning",2024-03-08
USR-0121,30,Male,Australia,High School,Retail Manager,8,Manufacturing,False,,3,1,0.7,High,"Prompt Engineering, NLP",2023-07-15
USR-0122,34,Male,Canada,Bachelor's,Nurse,10,Retail,False,,3,0,0.7,Medium,"Data Visualization, Python",2024-02-12
USR-0123,37,Female,USA,Master's,Content Creator,15,Media,False,,4,1,0.7,Low,AI for Business,2024-05-24
USR-0124,54,Male,India,Bachelor's,Operations Manager,32,Manufacturing,False,,3,2,0.7,High,"Python, Data Analysis, AI Ethics",2023-11-30
USR-0125,58,Female,India,Master's,Data Analyst,40,Tech,False,,4,5,0.7,Medium,"Machine Learning, Deep Learning",2023-04-30
USR-0126,34,Male,Brazil,Bachelor's,Nurse,12,Media,False,,5,0,0.7,Medium,AI for Business,2023-07-21
USR-0127,48,Female,USA,High School,Admin Assistant,27,Education,False,,4,5,0.7,High,AI for Business,2024-05-09
USR-0128,43,Female,USA,PhD,Data Analyst,22,Education,True,Data Science,3,1,0.33,Medium,,2023-02-23
USR-0129,22,Male,Australia,Other,AI Specialist,1,Tech,False,,5,1,0.7,Low,"Data Visualization, Python",2023-07-12
USR-0130,52,Male,USA,Bachelor's,Financial Advisor,33,Media,False,,3,1,0.7,Medium,"Machine Learning, Deep Learning",2023-12-01
USR-0131,34,Female,India,Bachelor's,Content Creator,14,Manufacturing,False,,4,3,0.7,Low,"Python, Data Analysis, AI Ethics",2024-04-16
USR-0132,45,Female,Australia,Bachelor's,Content Creator,21,Media,False,,2,2,0.7,Low,"Prompt Engineering, NLP",2023-10-15
USR-0133,39,Male,India,Bachelor's,Content Creator,18,Retail,False,,4,4,0.7,Low,"Prompt Engineering, NLP",2024-06-29
USR-0134,50,Female,France,Bachelor's,Admin Assistant,28,Media,False,,4,1,0.7,High,"Python, Data Analysis, AI Ethics",2023-10-12
USR-0135,32,Female,Australia,PhD,Operations Manager,12,Tech,True,Natural Language Processing,4,5,0.19,Medium,,2023-07-20
USR-0136,42,Male,UK,Master's,Teacher,23,Education,False,,4,1,0.7,Medium,"Prompt Engineering, NLP",2024-04-30
USR-0137,30,Female,Canada,Bachelor's,AI Specialist,8,Tech,True,"Deep Learning, Natural Language Processing",4,0,0.21,Low,,2023-04-19
USR-0138,47,Male,USA,PhD,Marketing Coordinator,23,Education,True,"Data Science, Machine Learning",2,2,0.43,Medium,,2024-04-11
USR-0139,58,Female,Brazil,Master's,Retail Manager,35,Media,False,,2,2,0.7,High,"Prompt Engineering, NLP",2023-04-09
USR-0140,32,Male,Germany,Bachelor's,Retail Manager,12,Healthcare,True,"AI Ethics, Machine Learning",4,1,0.34,High,,2024-05-02
USR-0141,38,Female,India,PhD,Retail Manager,19,Retail,True,"AI Ethics, Natural Language Processing, Machine Learning",4,5,0.3,High,,2023-06-16
USR-0142,40,Male,Canada,High School,Nurse,16,Retail,False,,4,4,0.7,Medium,"Prompt Engineering, NLP",2023-03-16
USR-0143,56,Female,India,Bachelor's,Operations Manager,37,Retail,True,"Data Science, AI Ethics, Machine Learning",4,2,0.41,High,,2023-09-20
USR-0144,41,Female,France,Bachelor's,Retail Manager,19,Healthcare,False,,2,0,0.7,High,"Python, Data Analysis, AI Ethics",2023-07-11
USR-0145,40,Female,Australia,Bachelor's,Retail Manager,18,Finance,False,,4,1,0.7,High,"Machine Learning, Deep Learning",2024-05-25
USR-0146,45,Female,Germany,Bachelor's,Financial Advisor,25,Healthcare,False,,2,2,0.7,Low,"Data Visualization, Python",2023-02-24
USR-0147,42,Prefer Not to Say,Brazil,High School,Nurse,18,Education,False,,2,0,0.7,Medium,"Machine Learning, Deep Learning",2023-12-24
USR-0148,40,Male,UK,Bachelor's,Retail Manager,22,Finance,False,,4,0,0.7,High,"Prompt Engineering, NLP",2023-03-18
USR-0149,54,Male,Germany,Other,Teacher,34,Education,False,,4,3,0.7,Medium,"Data Visualization, Python",2024-05-22
USR-0150,22,Male,Brazil,Bachelor's,Content Creator,0,Manufacturing,False,,5,1,0.7,Low,"Data Visualization, Python",2024-04-21
USR-0151,37,Female,USA,Master's,Content Creator,15,Manufacturing,False,,5,4,0.7,Low,AI for Business,2024-02-17
USR-0152,57,Prefer Not to Say,USA,Bachelor's,Financial Advisor,38,Education,False,,3,2,0.7,Low,AI for Business,2023-09-21
USR-0153,35,Male,USA,Bachelor's,AI Specialist,13,Healthcare,False,,5,4,0.7,Low,"Data Visualization, Python",2024-01-20
USR-0154,54,Male,Australia,Bachelor's,Content Creator,35,Tech,True,"Deep Learning, AI Ethics, Natural Language Processing",3,0,0.29,Low,,2024-05-23
USR-0155,55,Male,Germany,Bachelor's,Operations Manager,33,Tech,True,"AI Ethics, Natural Language Processing",4,2,0.29,Medium,,2023-01-22
USR-0156,45,Female,UK,Master's,Data Analyst,25,Media,False,,4,5,0.7,Low,"Data Visualization, Python",2023-01-05
USR-0157,58,Male,India,Bachelor's,Retail Manager,37,Healthcare,False,,4,4,0.7,High,"Data Visualization, Python",2023-12-17
USR-0158,27,Male,France,High School,Admin Assistant,7,Tech,False,,3,2,0.7,High,"Prompt Engineering, NLP",2023-07-27
USR-0159,53,Male,UK,Other,Content Creator,33,Manufacturing,False,,3,0,0.7,Low,AI for Business,2023-03-05
USR-0160,54,Male,India,Bachelor's,Software Engineer,33,Education,False,,4,1,0.7,Low,"Python, Data Analysis, AI Ethics",2023-07-01
USR-0161,59,Male,USA,Bachelor's,Admin Assistant,41,Education,False,,4,4,0.7,High,AI for Business,2023-06-12
USR-0162,22,Female,Australia,High School,Financial Advisor,0,Tech,True,"Deep Learning, AI Ethics, Data Science",5,2,0.34,Medium,,2023-02-15
USR-0163,34,Female,India,Master's,Admin Assistant,12,Tech,False,,3,2,0.7,High,"Python, Data Analysis, AI Ethics",2024-02-03
USR-0164,47,Female,India,Bachelor's,Operations Manager,29,Manufacturing,False,,3,1,0.7,Medium,"Python, Data Analysis, AI Ethics",2023-05-10
USR-0165,37,Female,Canada,Bachelor's,Nurse,18,Tech,True,"AI Ethics, Computer Vision",5,0,0.18,Medium,,2023-08-04
USR-0166,39,Male,France,Bachelor's,Nurse,16,Education,False,,5,4,0.7,Medium,"Machine Learning, Deep Learning",2023-06-09
USR-0167,36,Female,Germany,Master's,Financial Advisor,18,Finance,True,Deep Learning,5,2,0.18,High,,2023-10-11
USR-0168,50,Female,Australia,Bachelor's,Data Analyst,27,Media,False,,3,0,0.7,Low,AI for Business,2024-06-08
USR-0169,36,Male,Germany,Bachelor's,Content Creator,12,Media,True,"Computer Vision, Deep Learning, Prompt Engineering",3,1,0.3,Low,,2024-06-21
USR-0170,51,Female,India,Bachelor's,Data Analyst,27,Manufacturing,True,"Data Science, Deep Learning",4,2,0.42,Medium,,2023-03-17
USR-0171,36,Male,USA,High School,Software Engineer,14,Education,False,,3,2,0.7,Low,"Python, Data Analysis, AI Ethics",2023-02-16
USR-0172,42,Female,Canada,Bachelor's,Content Creator,23,Media,True,"Deep Learning, Machine Learning",3,1,0.31,Low,,2024-05-13
USR-0173,29,Female,Canada,High School,Software Engineer,5,Tech,True,AI Ethics,5,4,0.29,Low,,2024-04-24
USR-0174,45,Male,Canada,Bachelor's,Retail Manager,27,Healthcare,False,,3,1,0.7,High,"Data Visualization, Python",2023-11-04
USR-0175,35,Male,India,Bachelor's,Admin Assistant,16,Manufacturing,False,,4,2,0.7,High,"Python, Data Analysis, AI Ethics",2024-02-02
USR-0176,50,Male,USA,Bachelor's,AI Specialist,28,Finance,False,,4,0,0.7,Low,AI for Business,2023-09-02
USR-0177,37,Male,India,Bachelor's,Data Analyst,16,Retail,False,,5,4,0.7,High,AI for Business,2023-11-19
USR-0178,22,Male,USA,Bachelor's,Content Creator,0,Tech,True,"Data Science, Machine Learning",5,2,0.2,Low,,2023-02-06
USR-0179,31,Male,Brazil,Master's,Software Engineer,10,Media,False,,4,1,0.7,Low,AI for Business,2024-02-27
USR-0180,46,Male,Canada,Bachelor's,Retail Manager,27,Manufacturing,False,,4,4,0.7,High,"Prompt Engineering, NLP",2023-04-18
USR-0181,24,Female,France,High School,Software Engineer,3,Retail,False,,5,5,0.7,Low,AI for Business,2023-01-21
USR-0182,41,Male,India,High School,Software Engineer,23,Healthcare,False,,3,0,0.7,Low,"Machine Learning, Deep Learning",2023-03-17
USR-0183,50,Male,UK,Bachelor's,Marketing Coordinator,30,Manufacturing,False,,2,1,0.7,High,AI for Business,2023-07-20
USR-0184,31,Male,Germany,Bachelor's,Data Analyst,13,Media,False,,5,2,0.7,High,"Prompt Engineering, NLP",2024-04-04
USR-0185,38,Female,France,Bachelor's,Teacher,17,Tech,True,"Data Science, Deep Learning, Natural Language Processing",4,3,0.23,Low,,2023-06-15
USR-0186,30,Female,France,Bachelor's,Content Creator,7,Consulting,False,,5,4,0.7,Low,"Python, Data Analysis, AI Ethics",2023-09-26
USR-0187,28,Female,USA,Bachelor's,Content Creator,5,Tech,False,,4,3,0.7,Low,AI for Business,2024-03-03
USR-0188,25,Male,Brazil,Master's,Financial Advisor,6,Finance,False,,5,4,0.7,High,"Data Visualization, Python",2023-04-05
USR-0189,34,Male,India,Bachelor's,AI Specialist,13,Retail,False,,5,3,0.7,Low,"Machine Learning, Deep Learning",2024-03-27
USR-0190,27,Male,India,Other,Software Engineer,7,Consulting,False,,4,2,0.7,Low,"Machine Learning, Deep Learning",2024-03-26
USR-0191,35,Female,India,PhD,Retail Manager,13,Tech,False,,5,4,0.7,High,"Prompt Engineering, NLP",2023-11-20
USR-0192,35,Male,Germany,Bachelor's,Marketing Coordinator,11,Education,True,Natural Language Processing,4,4,0.27,Medium,,2023-09-02
USR-0193,58,Male,Australia,PhD,Marketing Coordinator,38,Finance,False,,3,1,0.7,Low,"Data Visualization, Python",2024-06-10
USR-0194,54,Female,Brazil,Bachelor's,AI Specialist,36,Tech,True,Prompt Engineering,2,1,0.28,Low,,2024-03-01
USR-0195,22,Male,UK,Bachelor's,Teacher,1,Healthcare,False,,5,1,0.7,Medium,AI for Business,2023-11-07
USR-0196,48,Male,USA,Bachelor's,Financial Advisor,25,Manufacturing,False,,4,2,0.7,Medium,"Data Visualization, Python",2023-04-06
USR-0197,41,Male,UK,Bachelor's,Content Creator,18,Finance,False,,3,0,0.7,Low,"Prompt Engineering, NLP",2023-04-19
USR-0198,58,Male,Australia,Master's,AI Specialist,35,Media,False,,4,4,0.7,Low,"Machine Learning, Deep Learning",2023-11-01
USR-0199,60,Male,USA,Bachelor's,Content Creator,41,Media,False,,3,0,0.7,Low,"Machine Learning, Deep Learning",2023-06-13
USR-0200,46,Prefer Not to Say,India,Master's,Teacher,26,Consulting,False,,4,0,0.7,Medium,"Prompt Engineering, NLP",2023-10-15
USR-0201,43,Male,India,Master's,Data Analyst,19,Education,True,"Data Science, Natural Language Processing",4,5,0.28,Low,,2024-05-19
USR-0202,28,Female,Australia,Bachelor's,Retail Manager,9,Education,False,,5,1,0.7,High,"Prompt Engineering, NLP",2024-07-16
USR-0203,59,Female,USA,High School,Content Creator,35,Media,False,,3,0,0.7,Low,AI for Business,2023-12-21
